quarter,as_of_date,adj_net_capital,net_capital_requirement,excess_net_capital,customer_assets_seg,customer_seg_required,excess_funds_seg,funds_section_30_7,customer_pt30_required,cleared_swap_seg,cleared_swap_required,excess_cleared_swap,retail_forex_obligation,fcm_count,capital_adequacy_ratio,excess_capital_pct,swap_seg_share
2022Q1,2022-03-31,161307943146,40259200862,121048742284,317849383270,304176077947,13673305323,71236839396,65776198296,152785671810,145132475769,7653196041,505760398,61,4.006734850473793,0.7504202206238452,0.32463725377198904
2022Q2,2022-06-30,164408451541,40369761665,124038689876,307402593657,294527982305,12874611352,67705745463,63123795558,159273407601,150403548104,8869859497,510651006,60,4.0725643342982565,0.7544544621239704,0.34129333235832354
2022Q3,2022-09-30,164092176080,39468768224,124623407856,308240042523,294752979812,13487062711,63971568090,59874498898,160927840125,154464525140,6463314985,490159422,62,4.1575195645507765,0.7594719677264944,0.34300694074947674
2022Q4,2022-12-31,175334015448,38479536165,136854479283,296133986404,284476468234,11657518170,68082130010,63127819714,158411387676,152907176299,5504211377,482214341,63,4.556552207286722,0.780535818639184,0.3485051145809694
2023Q1,2023-03-31,175562128517,39733116693,135829011824,296806176266,283765912224,13040264042,63426366473,59182811321,163458748664,157909018091,5549730573,513446269,62,4.41853403732433,0.773680593709864,0.35514057189749976
2023Q2,2023-06-30,178943413672,39030590247,139912823425,293156264138,278061922980,15094341158,62362708097,57922999980,167279226594,161812484669,5466741925,511308702,62,4.584696581311734,0.781883057632161,0.3633065433945146
2023Q3,2023-09-30,171055692821,35895683999,135160008822,281214257893,269281555835,11932702058,56538357306,52605209930,157394508362,151929734933,5464773429,516326469,62,4.765355434535398,0.7901520644708225,0.35884943592416346
2023Q4,2023-12-31,170010686428,37548860342,132461826086,289723100578,278074018024,11649082554,59528784791,55491994368,167375556808,162005086439,5370470369,516235266,63,4.52771894751319,0.7791382345961997,0.3661694343299254
2024Q1,2024-03-31,168136706486,37763596211,130373110275,291291919333,280430506455,10861412878,61143803609,57371694921,162883545091,157129706157,5753838934,549389183,64,4.452348911543127,0.7753994532172878,0.35863572088284024
2024Q2,2024-06-30,162466872788,37500134995,124966737793,275671118373,264844285330,10826833043,58075164158,54073672504,161573485058,154890274678,6683210380,557549710,64,4.33243434482735,0.7691828841690501,0.36952653912742306
2024Q3,2024-09-30,160888990467,40364124218,120524866249,293788457513,282564826256,11223631257,62578037486,57866594440,175875370457,170362246215,5513124242,526758856,64,3.9859403265648727,0.7491181708528459,0.3744707596860836
2024Q4,2024-12-31,167559423543,39919495018,127639928525,295186441073,282935198701,12251242372,56933051025,52418835594,167943777984,162376823635,5566954349,491340065,63,4.197433446175764,0.7617591766913925,0.3626275528423902
2025Q1,2025-03-31,165544922861,41574179038,123970743823,312621543710,300212150410,12409393300,55112558621,50688692907,176466882865,170230732276,6236150589,530108292,63,3.9819168217293517,0.7488646687587767,0.360807725712846
2025Q2,2025-06-30,166211981339,45138174059,121073807280,351216244426,338915375223,12300869203,61058419209,56730783626,176542682856,170713764051,5828918805,479475934,63,3.682292977153766,0.7284300825044748,0.3345138731526697
2025Q3,2025-09-30,169387365822,46839880467,122547485355,364136908698,351508962197,12627946501,62515566228,57904487494,183296119312,177083972517,6212146795,505621771,65,3.6163065347986554,0.7234747689729026,0.33482838983666824
2025Q4,2025-12-31,184877705083,47172966486,137704738597,351052131525,338711083256,12341048269,63597664057,59245236095,191426221759,185157608482,6268613277,499882453,66,3.9191451980843315,0.7448423190626371,0.3528734752274695
2026Q1,2026-01-31,174292081319,49086167770,125205913549,367551463989,353720452378,13831011611,68161234189,63683733243,192297991856,186204839201,6093152655,472955128,69,3.550737188033695,0.7183683423909575,0.34348160893674184
