category,quarter,amount,table
Level 1,2013Q1,2563,Tab.2.14
Level 2,2013Q1,1925,Tab.2.14
Level 3,2013Q1,1962,Tab.2.14
Cost-Based,2013Q1,819,Tab.2.14
Level 1,2013Q2,2413,Tab.2.14
Level 2,2013Q2,2089,Tab.2.14
Level 3,2013Q2,1982,Tab.2.14
Cost-Based,2013Q2,857,Tab.2.14
Level 1,2013Q3,2436,Tab.2.14
Level 2,2013Q3,1986,Tab.2.14
Level 3,2013Q3,2007,Tab.2.14
Cost-Based,2013Q3,857,Tab.2.14
Level 1,2013Q4,2598,Tab.2.14
Level 2,2013Q4,2366,Tab.2.14
Level 3,2013Q4,2168,Tab.2.14
Cost-Based,2013Q4,1300,Tab.2.14
Level 1,2014Q1,2590,Tab.2.14
Level 2,2014Q1,2380,Tab.2.14
Level 3,2014Q1,2167,Tab.2.14
Cost-Based,2014Q1,1306,Tab.2.14
Level 1,2014Q2,2623,Tab.2.14
Level 2,2014Q2,2379,Tab.2.14
Level 3,2014Q2,2183,Tab.2.14
Cost-Based,2014Q2,1298,Tab.2.14
Level 1,2014Q3,2626,Tab.2.14
Level 2,2014Q3,2382,Tab.2.14
Level 3,2014Q3,2175,Tab.2.14
Cost-Based,2014Q3,1302,Tab.2.14
Level 1,2014Q4,2826,Tab.2.14
Level 2,2014Q4,2628,Tab.2.14
Level 3,2014Q4,2225,Tab.2.14
Cost-Based,2014Q4,1485,Tab.2.14
Level 1,2015Q1,2833,Tab.2.14
Level 2,2015Q1,2652,Tab.2.14
Level 3,2015Q1,2230,Tab.2.14
Cost-Based,2015Q1,1494,Tab.2.14
Level 1,2015Q2,2830,Tab.2.14
Level 2,2015Q2,2691,Tab.2.14
Level 3,2015Q2,2241,Tab.2.14
Cost-Based,2015Q2,1498,Tab.2.14
Level 1,2015Q3,2797,Tab.2.14
Level 2,2015Q3,2704,Tab.2.14
Level 3,2015Q3,2221,Tab.2.14
Cost-Based,2015Q3,1494,Tab.2.14
Level 1,2015Q4,2758,Tab.2.14
Level 2,2015Q4,2452,Tab.2.14
Level 3,2015Q4,2350,Tab.2.14
Cost-Based,2015Q4,1761,Tab.2.14
Level 1,2016Q1,2718,Tab.2.14
Level 2,2016Q1,2489,Tab.2.14
Level 3,2016Q1,2357,Tab.2.14
Cost-Based,2016Q1,1782,Tab.2.14
Level 1,2016Q2,2729,Tab.2.14
Level 2,2016Q2,2437,Tab.2.14
Level 3,2016Q2,2360,Tab.2.14
Cost-Based,2016Q2,1785,Tab.2.14
Level 1,2016Q3,2745,Tab.2.14
Level 2,2016Q3,2431,Tab.2.14
Level 3,2016Q3,2357,Tab.2.14
Cost-Based,2016Q3,1781,Tab.2.14
Level 1,2016Q4,2870,Tab.2.14
Level 2,2016Q4,2549,Tab.2.14
Level 3,2016Q4,2594,Tab.2.14
Cost-Based,2016Q4,1980,Tab.2.14
Level 1,2017Q1,2878,Tab.2.14
Level 2,2017Q1,2544,Tab.2.14
Level 3,2017Q1,2613,Tab.2.14
Cost-Based,2017Q1,1967,Tab.2.14
Level 1,2017Q2,2882,Tab.2.14
Level 2,2017Q2,2536,Tab.2.14
Level 3,2017Q2,2620,Tab.2.14
Cost-Based,2017Q2,1998,Tab.2.14
Level 1,2017Q3,2880,Tab.2.14
Level 2,2017Q3,2572,Tab.2.14
Level 3,2017Q3,2617,Tab.2.14
Cost-Based,2017Q3,2001,Tab.2.14
Level 1,2017Q4,3265,Tab.2.14
Level 2,2017Q4,2761,Tab.2.14
Level 3,2017Q4,2900,Tab.2.14
Cost-Based,2017Q4,2267,Tab.2.14
Level 1,2018Q1,3317,Tab.2.14
Level 2,2018Q1,2743,Tab.2.14
Level 3,2018Q1,2954,Tab.2.14
Cost-Based,2018Q1,2257,Tab.2.14
Level 1,2018Q2,3316,Tab.2.14
Level 2,2018Q2,2771,Tab.2.14
Level 3,2018Q2,2965,Tab.2.14
Cost-Based,2018Q2,2278,Tab.2.14
Level 1,2018Q3,3343,Tab.2.14
Level 2,2018Q3,2775,Tab.2.14
Level 3,2018Q3,2974,Tab.2.14
Cost-Based,2018Q3,2304,Tab.2.14
Level 1,2018Q4,3235,Tab.2.14
Level 2,2018Q4,2959,Tab.2.14
Level 3,2018Q4,3404,Tab.2.14
Cost-Based,2018Q4,2508,Tab.2.14
Level 1,2019Q1,3259,Tab.2.14
Level 2,2019Q1,2978,Tab.2.14
Level 3,2019Q1,3475,Tab.2.14
Cost-Based,2019Q1,2548,Tab.2.14
Level 1,2019Q2,3279,Tab.2.14
Level 2,2019Q2,3043,Tab.2.14
Level 3,2019Q2,3474,Tab.2.14
Cost-Based,2019Q2,2555,Tab.2.14
Level 1,2019Q3,3240,Tab.2.14
Level 2,2019Q3,3045,Tab.2.14
Level 3,2019Q3,3469,Tab.2.14
Cost-Based,2019Q3,2548,Tab.2.14
Level 1,2019Q4,3834,Tab.2.14
Level 2,2019Q4,3483,Tab.2.14
Level 3,2019Q4,4058,Tab.2.14
Cost-Based,2019Q4,2364,Tab.2.14
Level 1,2020Q1,3801,Tab.2.14
Level 2,2020Q1,3507,Tab.2.14
Level 3,2020Q1,4111,Tab.2.14
Cost-Based,2020Q1,2349,Tab.2.14
Level 1,2020Q2,3809,Tab.2.14
Level 2,2020Q2,3497,Tab.2.14
Level 3,2020Q2,4115,Tab.2.14
Cost-Based,2020Q2,2340,Tab.2.14
Level 1,2020Q3,3821,Tab.2.14
Level 2,2020Q3,3516,Tab.2.14
Level 3,2020Q3,4126,Tab.2.14
Cost-Based,2020Q3,2336,Tab.2.14
Level 1,2020Q4,4239,Tab.2.14
Level 2,2020Q4,3649,Tab.2.14
Level 3,2020Q4,5077,Tab.2.14
Cost-Based,2020Q4,2340,Tab.2.14
Level 1,2021Q1,4275,Tab.2.14
Level 2,2021Q1,3631,Tab.2.14
Level 3,2021Q1,5178,Tab.2.14
Cost-Based,2021Q1,2346,Tab.2.14
Level 1,2021Q2,4310,Tab.2.14
Level 2,2021Q2,3641,Tab.2.14
Level 3,2021Q2,5209,Tab.2.14
Cost-Based,2021Q2,2340,Tab.2.14
Level 1,2021Q3,4379,Tab.2.14
Level 2,2021Q3,3643,Tab.2.14
Level 3,2021Q3,5279,Tab.2.14
Cost-Based,2021Q3,2330,Tab.2.14
Level 1,2021Q4,4678,Tab.2.14
Level 2,2021Q4,3838,Tab.2.14
Level 3,2021Q4,6812,Tab.2.14
Cost-Based,2021Q4,2848,Tab.2.14
Level 1,2022Q1,4647,Tab.2.14
Level 2,2022Q1,3823,Tab.2.14
Level 3,2022Q1,6841,Tab.2.14
Cost-Based,2022Q1,2872,Tab.2.14
Level 1,2022Q2,4599,Tab.2.14
Level 2,2022Q2,3830,Tab.2.14
Level 3,2022Q2,6852,Tab.2.14
Cost-Based,2022Q2,2854,Tab.2.14
Level 1,2022Q3,4571,Tab.2.14
Level 2,2022Q3,3795,Tab.2.14
Level 3,2022Q3,6813,Tab.2.14
Cost-Based,2022Q3,2863,Tab.2.14
Level 1,2022Q4,4143,Tab.2.14
Level 2,2022Q4,3590,Tab.2.14
Level 3,2022Q4,7573,Tab.2.14
Cost-Based,2022Q4,3005,Tab.2.14
Level 1,2023Q1,4078,Tab.2.14
Level 2,2023Q1,3556,Tab.2.14
Level 3,2023Q1,7480,Tab.2.14
Cost-Based,2023Q1,2985,Tab.2.14
Level 1,2023Q2,4056,Tab.2.14
Level 2,2023Q2,3508,Tab.2.14
Level 3,2023Q2,7484,Tab.2.14
Cost-Based,2023Q2,2982,Tab.2.14
Level 1,2023Q3,4051,Tab.2.14
Level 2,2023Q3,3511,Tab.2.14
Level 3,2023Q3,7473,Tab.2.14
Cost-Based,2023Q3,2989,Tab.2.14
Level 1,2023Q4,4846,Tab.2.14
Level 2,2023Q4,3831,Tab.2.14
Level 3,2023Q4,8327,Tab.2.14
Cost-Based,2023Q4,3317,Tab.2.14
Level 1,2024Q1,4872,Tab.2.14
Level 2,2024Q1,3850,Tab.2.14
Level 3,2024Q1,8362,Tab.2.14
Cost-Based,2024Q1,3310,Tab.2.14
Level 1,2024Q2,4877,Tab.2.14
Level 2,2024Q2,3855,Tab.2.14
Level 3,2024Q2,8373,Tab.2.14
Cost-Based,2024Q2,3306,Tab.2.14
Level 1,2024Q3,4897,Tab.2.14
Level 2,2024Q3,3876,Tab.2.14
Level 3,2024Q3,8375,Tab.2.14
Cost-Based,2024Q3,3325,Tab.2.14
Level 1,2024Q4,5551,Tab.2.14
Level 2,2024Q4,4080,Tab.2.14
Level 3,2024Q4,9139,Tab.2.14
Cost-Based,2024Q4,3316,Tab.2.14
Level 1,2025Q1,5564,Tab.2.14
Level 2,2025Q1,4098,Tab.2.14
Level 3,2025Q1,9161,Tab.2.14
Cost-Based,2025Q1,3336,Tab.2.14
Level 1,2013Q1,999,Tab.2.15
Level 2,2013Q1,378,Tab.2.15
Level 3,2013Q1,103,Tab.2.15
Cost-Based,2013Q1,521,Tab.2.15
Level 1,2013Q2,999,Tab.2.15
Level 2,2013Q2,425,Tab.2.15
Level 3,2013Q2,103,Tab.2.15
Cost-Based,2013Q2,538,Tab.2.15
Level 1,2013Q3,1006,Tab.2.15
Level 2,2013Q3,430,Tab.2.15
Level 3,2013Q3,112,Tab.2.15
Cost-Based,2013Q3,540,Tab.2.15
Level 1,2013Q4,931,Tab.2.15
Level 2,2013Q4,504,Tab.2.15
Level 3,2013Q4,133,Tab.2.15
Cost-Based,2013Q4,890,Tab.2.15
Level 1,2014Q1,937,Tab.2.15
Level 2,2014Q1,516,Tab.2.15
Level 3,2014Q1,134,Tab.2.15
Cost-Based,2014Q1,888,Tab.2.15
Level 1,2014Q2,943,Tab.2.15
Level 2,2014Q2,499,Tab.2.15
Level 3,2014Q2,134,Tab.2.15
Cost-Based,2014Q2,881,Tab.2.15
Level 1,2014Q3,939,Tab.2.15
Level 2,2014Q3,501,Tab.2.15
Level 3,2014Q3,128,Tab.2.15
Cost-Based,2014Q3,883,Tab.2.15
Level 1,2014Q4,1106,Tab.2.15
Level 2,2014Q4,645,Tab.2.15
Level 3,2014Q4,133,Tab.2.15
Cost-Based,2014Q4,1052,Tab.2.15
Level 1,2015Q1,1110,Tab.2.15
Level 2,2015Q1,647,Tab.2.15
Level 3,2015Q1,135,Tab.2.15
Cost-Based,2015Q1,1057,Tab.2.15
Level 1,2015Q2,1098,Tab.2.15
Level 2,2015Q2,682,Tab.2.15
Level 3,2015Q2,140,Tab.2.15
Cost-Based,2015Q2,1060,Tab.2.15
Level 1,2015Q3,1100,Tab.2.15
Level 2,2015Q3,689,Tab.2.15
Level 3,2015Q3,149,Tab.2.15
Cost-Based,2015Q3,1060,Tab.2.15
Level 1,2015Q4,987,Tab.2.15
Level 2,2015Q4,683,Tab.2.15
Level 3,2015Q4,162,Tab.2.15
Cost-Based,2015Q4,1177,Tab.2.15
Level 1,2016Q1,984,Tab.2.15
Level 2,2016Q1,705,Tab.2.15
Level 3,2016Q1,163,Tab.2.15
Cost-Based,2016Q1,1206,Tab.2.15
Level 1,2016Q2,988,Tab.2.15
Level 2,2016Q2,647,Tab.2.15
Level 3,2016Q2,163,Tab.2.15
Cost-Based,2016Q2,1217,Tab.2.15
Level 1,2016Q3,986,Tab.2.15
Level 2,2016Q3,650,Tab.2.15
Level 3,2016Q3,162,Tab.2.15
Cost-Based,2016Q3,1222,Tab.2.15
Level 1,2016Q4,1126,Tab.2.15
Level 2,2016Q4,678,Tab.2.15
Level 3,2016Q4,204,Tab.2.15
Cost-Based,2016Q4,1327,Tab.2.15
Level 1,2017Q1,1132,Tab.2.15
Level 2,2017Q1,681,Tab.2.15
Level 3,2017Q1,204,Tab.2.15
Cost-Based,2017Q1,1327,Tab.2.15
Level 1,2017Q2,1131,Tab.2.15
Level 2,2017Q2,684,Tab.2.15
Level 3,2017Q2,208,Tab.2.15
Cost-Based,2017Q2,1333,Tab.2.15
Level 1,2017Q3,1140,Tab.2.15
Level 2,2017Q3,696,Tab.2.15
Level 3,2017Q3,204,Tab.2.15
Cost-Based,2017Q3,1337,Tab.2.15
Level 1,2017Q4,1261,Tab.2.15
Level 2,2017Q4,888,Tab.2.15
Level 3,2017Q4,191,Tab.2.15
Cost-Based,2017Q4,1489,Tab.2.15
Level 1,2018Q1,1263,Tab.2.15
Level 2,2018Q1,881,Tab.2.15
Level 3,2018Q1,193,Tab.2.15
Cost-Based,2018Q1,1486,Tab.2.15
Level 1,2018Q2,1260,Tab.2.15
Level 2,2018Q2,890,Tab.2.15
Level 3,2018Q2,193,Tab.2.15
Cost-Based,2018Q2,1497,Tab.2.15
Level 1,2018Q3,1267,Tab.2.15
Level 2,2018Q3,902,Tab.2.15
Level 3,2018Q3,194,Tab.2.15
Cost-Based,2018Q3,1502,Tab.2.15
Level 1,2018Q4,1216,Tab.2.15
Level 2,2018Q4,1011,Tab.2.15
Level 3,2018Q4,195,Tab.2.15
Cost-Based,2018Q4,2082,Tab.2.15
Level 1,2019Q1,1222,Tab.2.15
Level 2,2019Q1,1026,Tab.2.15
Level 3,2019Q1,197,Tab.2.15
Cost-Based,2019Q1,2102,Tab.2.15
Level 1,2019Q2,1230,Tab.2.15
Level 2,2019Q2,1063,Tab.2.15
Level 3,2019Q2,200,Tab.2.15
Cost-Based,2019Q2,2113,Tab.2.15
Level 1,2019Q3,1223,Tab.2.15
Level 2,2019Q3,1053,Tab.2.15
Level 3,2019Q3,202,Tab.2.15
Cost-Based,2019Q3,2108,Tab.2.15
Level 1,2019Q4,1269,Tab.2.15
Level 2,2019Q4,1030,Tab.2.15
Level 3,2019Q4,263,Tab.2.15
Cost-Based,2019Q4,2228,Tab.2.15
Level 1,2020Q1,1283,Tab.2.15
Level 2,2020Q1,1065,Tab.2.15
Level 3,2020Q1,267,Tab.2.15
Cost-Based,2020Q1,2235,Tab.2.15
Level 1,2020Q2,1274,Tab.2.15
Level 2,2020Q2,1056,Tab.2.15
Level 3,2020Q2,266,Tab.2.15
Cost-Based,2020Q2,2225,Tab.2.15
Level 1,2020Q3,1284,Tab.2.15
Level 2,2020Q3,1063,Tab.2.15
Level 3,2020Q3,266,Tab.2.15
Cost-Based,2020Q3,2225,Tab.2.15
Level 1,2020Q4,1334,Tab.2.15
Level 2,2020Q4,1189,Tab.2.15
Level 3,2020Q4,294,Tab.2.15
Cost-Based,2020Q4,2068,Tab.2.15
Level 1,2021Q1,1334,Tab.2.15
Level 2,2021Q1,1167,Tab.2.15
Level 3,2021Q1,296,Tab.2.15
Cost-Based,2021Q1,2082,Tab.2.15
Level 1,2021Q2,1338,Tab.2.15
Level 2,2021Q2,1171,Tab.2.15
Level 3,2021Q2,303,Tab.2.15
Cost-Based,2021Q2,2076,Tab.2.15
Level 1,2021Q3,1340,Tab.2.15
Level 2,2021Q3,1189,Tab.2.15
Level 3,2021Q3,338,Tab.2.15
Cost-Based,2021Q3,2072,Tab.2.15
Level 1,2021Q4,1689,Tab.2.15
Level 2,2021Q4,1358,Tab.2.15
Level 3,2021Q4,377,Tab.2.15
Cost-Based,2021Q4,2273,Tab.2.15
Level 1,2022Q1,1689,Tab.2.15
Level 2,2022Q1,1345,Tab.2.15
Level 3,2022Q1,377,Tab.2.15
Cost-Based,2022Q1,2270,Tab.2.15
Level 1,2022Q2,1682,Tab.2.15
Level 2,2022Q2,1365,Tab.2.15
Level 3,2022Q2,340,Tab.2.15
Cost-Based,2022Q2,2270,Tab.2.15
Level 1,2022Q3,1688,Tab.2.15
Level 2,2022Q3,1323,Tab.2.15
Level 3,2022Q3,342,Tab.2.15
Cost-Based,2022Q3,2277,Tab.2.15
Level 1,2022Q4,1569,Tab.2.15
Level 2,2022Q4,1489,Tab.2.15
Level 3,2022Q4,377,Tab.2.15
Cost-Based,2022Q4,2531,Tab.2.15
Level 1,2023Q1,1574,Tab.2.15
Level 2,2023Q1,1468,Tab.2.15
Level 3,2023Q1,377,Tab.2.15
Cost-Based,2023Q1,2525,Tab.2.15
Level 1,2023Q2,1575,Tab.2.15
Level 2,2023Q2,1434,Tab.2.15
Level 3,2023Q2,391,Tab.2.15
Cost-Based,2023Q2,2526,Tab.2.15
Level 1,2023Q3,1578,Tab.2.15
Level 2,2023Q3,1441,Tab.2.15
Level 3,2023Q3,381,Tab.2.15
Cost-Based,2023Q3,2520,Tab.2.15
Level 1,2023Q4,1854,Tab.2.15
Level 2,2023Q4,1548,Tab.2.15
Level 3,2023Q4,410,Tab.2.15
Cost-Based,2023Q4,3451,Tab.2.15
Level 1,2024Q1,1856,Tab.2.15
Level 2,2024Q1,1657,Tab.2.15
Level 3,2024Q1,416,Tab.2.15
Cost-Based,2024Q1,3453,Tab.2.15
Level 1,2024Q2,1858,Tab.2.15
Level 2,2024Q2,1640,Tab.2.15
Level 3,2024Q2,415,Tab.2.15
Cost-Based,2024Q2,3463,Tab.2.15
Level 1,2024Q3,1862,Tab.2.15
Level 2,2024Q3,1713,Tab.2.15
Level 3,2024Q3,410,Tab.2.15
Cost-Based,2024Q3,3472,Tab.2.15
Level 1,2024Q4,2021,Tab.2.15
Level 2,2024Q4,1758,Tab.2.15
Level 3,2024Q4,431,Tab.2.15
Cost-Based,2024Q4,3711,Tab.2.15
Level 1,2025Q1,2024,Tab.2.15
Level 2,2025Q1,1775,Tab.2.15
Level 3,2025Q1,428,Tab.2.15
Cost-Based,2025Q1,3711,Tab.2.15
Level 1,2013Q1,2136,Tab.2.16
Level 2,2013Q1,1271,Tab.2.16
Level 3,2013Q1,484,Tab.2.16
Cost-Based,2013Q1,397,Tab.2.16
Level 1,2013Q2,1971,Tab.2.16
Level 2,2013Q2,1430,Tab.2.16
Level 3,2013Q2,492,Tab.2.16
Cost-Based,2013Q2,429,Tab.2.16
Level 1,2013Q3,1982,Tab.2.16
Level 2,2013Q3,1320,Tab.2.16
Level 3,2013Q3,500,Tab.2.16
Cost-Based,2013Q3,428,Tab.2.16
Level 1,2013Q4,2111,Tab.2.16
Level 2,2013Q4,1559,Tab.2.16
Level 3,2013Q4,536,Tab.2.16
Cost-Based,2013Q4,943,Tab.2.16
Level 1,2014Q1,2099,Tab.2.16
Level 2,2014Q1,1571,Tab.2.16
Level 3,2014Q1,540,Tab.2.16
Cost-Based,2014Q1,948,Tab.2.16
Level 1,2014Q2,2132,Tab.2.16
Level 2,2014Q2,1565,Tab.2.16
Level 3,2014Q2,556,Tab.2.16
Cost-Based,2014Q2,941,Tab.2.16
Level 1,2014Q3,2138,Tab.2.16
Level 2,2014Q3,1565,Tab.2.16
Level 3,2014Q3,561,Tab.2.16
Cost-Based,2014Q3,946,Tab.2.16
Level 1,2014Q4,2312,Tab.2.16
Level 2,2014Q4,1701,Tab.2.16
Level 3,2014Q4,570,Tab.2.16
Cost-Based,2014Q4,1112,Tab.2.16
Level 1,2015Q1,2315,Tab.2.16
Level 2,2015Q1,1720,Tab.2.16
Level 3,2015Q1,581,Tab.2.16
Cost-Based,2015Q1,1119,Tab.2.16
Level 1,2015Q2,2312,Tab.2.16
Level 2,2015Q2,1760,Tab.2.16
Level 3,2015Q2,588,Tab.2.16
Cost-Based,2015Q2,1121,Tab.2.16
Level 1,2015Q3,2286,Tab.2.16
Level 2,2015Q3,1770,Tab.2.16
Level 3,2015Q3,592,Tab.2.16
Cost-Based,2015Q3,1119,Tab.2.16
Level 1,2015Q4,2228,Tab.2.16
Level 2,2015Q4,1611,Tab.2.16
Level 3,2015Q4,637,Tab.2.16
Cost-Based,2015Q4,1245,Tab.2.16
Level 1,2016Q1,2192,Tab.2.16
Level 2,2016Q1,1645,Tab.2.16
Level 3,2016Q1,641,Tab.2.16
Cost-Based,2016Q1,1267,Tab.2.16
Level 1,2016Q2,2202,Tab.2.16
Level 2,2016Q2,1592,Tab.2.16
Level 3,2016Q2,646,Tab.2.16
Cost-Based,2016Q2,1265,Tab.2.16
Level 1,2016Q3,2216,Tab.2.16
Level 2,2016Q3,1587,Tab.2.16
Level 3,2016Q3,658,Tab.2.16
Cost-Based,2016Q3,1263,Tab.2.16
Level 1,2016Q4,2334,Tab.2.16
Level 2,2016Q4,1642,Tab.2.16
Level 3,2016Q4,669,Tab.2.16
Cost-Based,2016Q4,1378,Tab.2.16
Level 1,2017Q1,2336,Tab.2.16
Level 2,2017Q1,1638,Tab.2.16
Level 3,2017Q1,679,Tab.2.16
Cost-Based,2017Q1,1377,Tab.2.16
Level 1,2017Q2,2335,Tab.2.16
Level 2,2017Q2,1644,Tab.2.16
Level 3,2017Q2,686,Tab.2.16
Cost-Based,2017Q2,1418,Tab.2.16
Level 1,2017Q3,2346,Tab.2.16
Level 2,2017Q3,1673,Tab.2.16
Level 3,2017Q3,710,Tab.2.16
Cost-Based,2017Q3,1421,Tab.2.16
Level 1,2017Q4,2666,Tab.2.16
Level 2,2017Q4,1817,Tab.2.16
Level 3,2017Q4,750,Tab.2.16
Cost-Based,2017Q4,1602,Tab.2.16
Level 1,2018Q1,2701,Tab.2.16
Level 2,2018Q1,1805,Tab.2.16
Level 3,2018Q1,761,Tab.2.16
Cost-Based,2018Q1,1591,Tab.2.16
Level 1,2018Q2,2700,Tab.2.16
Level 2,2018Q2,1825,Tab.2.16
