quarter,investor_30d,portfolio_30d,financing_30d,liquidity_mismatch_30d,financing_gap_30d
2013Q1,0.237,0.773,0.673,0.536,0.09999999999999998
2013Q2,0.227,0.774,0.659,0.547,0.11499999999999999
2013Q3,0.222,0.774,0.65,0.552,0.124
2013Q4,0.245,0.784,0.628,0.539,0.15600000000000003
2014Q1,0.263,0.787,0.626,0.524,0.16100000000000003
2014Q2,0.243,0.784,0.642,0.541,0.14200000000000002
2014Q3,0.241,0.784,0.655,0.543,0.129
2014Q4,0.259,0.779,0.639,0.52,0.14
2015Q1,0.272,0.783,0.653,0.511,0.13
2015Q2,0.258,0.774,0.635,0.516,0.139
2015Q3,0.263,0.771,0.653,0.508,0.118
2015Q4,0.253,0.766,0.662,0.513,0.10399999999999998
2016Q1,0.273,0.77,0.666,0.497,0.10399999999999998
2016Q2,0.271,0.766,0.657,0.495,0.10899999999999999
2016Q3,0.264,0.761,0.651,0.497,0.10999999999999999
2016Q4,0.264,0.756,0.639,0.492,0.11699999999999999
2017Q1,0.285,0.754,0.648,0.46900000000000003,0.10599999999999998
2017Q2,0.271,0.756,0.653,0.485,0.10299999999999998
2017Q3,0.275,0.755,0.64,0.48,0.11499999999999999
2017Q4,0.28,0.753,0.649,0.473,0.10399999999999998
2018Q1,0.3,0.75,0.652,0.45,0.09799999999999998
2018Q2,0.278,0.749,0.665,0.471,0.08399999999999996
2018Q3,0.277,0.749,0.658,0.472,0.09099999999999997
2018Q4,0.278,0.737,0.685,0.45899999999999996,0.051999999999999935
2019Q1,0.292,0.73,0.685,0.438,0.04499999999999993
2019Q2,0.273,0.724,0.677,0.45099999999999996,0.04699999999999993
2019Q3,0.27,0.714,0.687,0.44399999999999995,0.026999999999999913
2019Q4,0.265,0.701,0.671,0.43599999999999994,0.029999999999999916
2020Q1,0.258,0.706,0.697,0.44799999999999995,0.009000000000000008
2020Q2,0.247,0.704,0.662,0.45699999999999996,0.041999999999999926
2020Q3,0.246,0.697,0.671,0.45099999999999996,0.025999999999999912
2020Q4,0.226,0.685,0.65,0.4590000000000001,0.03500000000000003
2021Q1,0.224,0.676,0.649,0.45200000000000007,0.027000000000000024
2021Q2,0.235,0.675,0.646,0.44000000000000006,0.029000000000000026
2021Q3,0.231,0.661,0.642,0.43000000000000005,0.019000000000000017
2021Q4,0.231,0.657,0.627,0.42600000000000005,0.030000000000000027
2022Q1,0.234,0.648,0.631,0.41400000000000003,0.017000000000000015
2022Q2,0.2,0.623,0.642,0.423,-0.019000000000000017
2022Q3,0.19,0.612,0.613,0.422,-0.0010000000000000009
2022Q4,0.185,0.602,0.611,0.417,-0.009000000000000008
2023Q1,0.186,0.591,0.626,0.40499999999999997,-0.03500000000000003
2023Q2,0.179,0.596,0.629,0.417,-0.03300000000000003
2023Q3,0.172,0.582,0.638,0.41,-0.05600000000000005
2023Q4,0.176,0.59,0.646,0.414,-0.05600000000000005
2024Q1,0.176,0.592,0.641,0.416,-0.049000000000000044
2024Q2,0.181,0.593,0.651,0.412,-0.05800000000000005
2024Q3,0.185,0.59,0.67,0.40499999999999997,-0.08000000000000007
2024Q4,0.185,0.596,0.659,0.411,-0.06300000000000006
2025Q1,0.191,0.603,0.665,0.412,-0.062000000000000055
