quarter,date,hhi,n_strategies,top_strategy,top_share,total_nav,hhi_change
2013Q1,2013-03-31,0.17786486499977275,9,Equity,0.29779600205023066,1951.0,
2013Q2,2013-06-30,0.1789919151599896,9,Equity,0.2998991935483871,1984.0,0.0011270501602168581
2013Q3,2013-09-30,0.18478565956567772,9,Equity,0.30943214629451393,2078.0,0.0057937444056881116
2013Q4,2013-12-31,0.18151635040993913,9,Equity,0.30851063829787234,2256.0,-0.0032693091557385867
2014Q1,2014-03-31,0.17176742716784166,9,Equity,0.28823024054982815,2328.0,-0.009748923242097474
2014Q2,2014-06-30,0.17812823526119922,9,Equity,0.30422647527910684,2508.0,0.006360808093357567
2014Q3,2014-09-30,0.1774014712590134,9,Equity,0.3029595015576324,2568.0,-0.0007267640021858257
2014Q4,2014-12-31,0.17945323734014382,9,Equity,0.3063133281371785,2566.0,0.0020517660811304184
2015Q1,2015-03-31,0.18277466657187,9,Equity,0.3103192279138827,2694.0,0.0033214292317261807
2015Q2,2015-06-30,0.18687923554089425,9,Equity,0.3226047904191617,2672.0,0.004104568969024253
2015Q3,2015-09-30,0.18297020660115898,9,Equity,0.3123015873015873,2520.0,-0.003909028939735271
2015Q4,2015-12-31,0.18902250181194608,9,Equity,0.3271926311573889,2497.0,0.006052295210787095
2016Q1,2016-03-31,0.19015689811640454,9,Equity,0.32306411323896755,2402.0,0.0011343963044584682
2016Q2,2016-06-30,0.18825315123253253,9,Equity,0.32332081768877763,2397.0,-0.001903746883872015
2016Q3,2016-09-30,0.1905899472146291,9,Equity,0.32645631067961167,2472.0,0.0023367959820965734
2016Q4,2016-12-31,0.1864442312379607,9,Equity,0.3126540673788003,2434.0,-0.004145715976668407
2017Q1,2017-03-31,0.1896296776321991,9,Equity,0.3232200647249191,2472.0,0.0031854463942384004
2017Q2,2017-06-30,0.19676822762408563,9,Equity,0.3290347792106291,2559.0,0.007138549991886539
2017Q3,2017-09-30,0.2024488233272784,9,Equity,0.337796480489671,2614.0,0.0056805957031927645
2017Q4,2017-12-31,0.20305264291790398,9,Equity,0.3386736214605067,2684.0,0.0006038195906255817
2018Q1,2018-03-31,0.2007579664988419,9,Equity,0.3348197696023783,2691.0,-0.002294676419062086
2018Q2,2018-06-30,0.20222073254874776,9,Equity,0.34213381555153705,2765.0,0.0014627660499058615
2018Q3,2018-09-30,0.21085062163127344,9,Equity,0.3577089337175792,2776.0,0.008629889082525682
2018Q4,2018-12-31,0.19870716825552898,9,Equity,0.33151326053042124,2564.0,-0.012143453375744462
2019Q1,2019-03-31,0.20608775952186809,9,Equity,0.3418613274008157,2697.0,0.007380591266339109
2019Q2,2019-06-30,0.21320496670676042,9,Equity,0.3472423802612482,2756.0,0.007117207184892338
2019Q3,2019-09-30,0.2083459022228181,9,Equity,0.34062727935813275,2742.0,-0.004859064483942327
2019Q4,2019-12-31,0.21452325101366165,9,Equity,0.35134168157423973,2795.0,0.0061773487908435565
2020Q1,2020-03-31,0.20571800048284863,9,Equity,0.33083300434267665,2533.0,-0.008805250530813019
2020Q2,2020-06-30,0.21700292498735552,9,Equity,0.35652487382840664,2774.0,0.011284924504506882
2020Q3,2020-09-30,0.218872610401536,9,Equity,0.3712121212121212,2904.0,0.0018696854141804775
2020Q4,2020-12-31,0.2397603473457808,9,Equity,0.41060046964106006,2981.0,0.02088773694424481
2021Q1,2021-03-31,0.24787493542373262,9,Equity,0.41927330173775673,3165.0,0.008114588077951818
2021Q2,2021-06-30,0.2504578977960968,9,Equity,0.42237308146399055,3388.0,0.0025829623723641615
2021Q3,2021-09-30,0.25089431840969806,9,Equity,0.42466960352422906,3405.0,0.0004364206136012738
2021Q4,2021-12-31,0.24476697906578285,9,Equity,0.4113434545975365,3491.0,-0.006127339343915211
2022Q1,2022-03-31,0.22152664379930037,9,Equity,0.3708589856347112,3411.0,-0.023240335266482476
2022Q2,2022-06-30,0.20252126216711452,9,Equity,0.3281547241597971,3154.0,-0.019005381632185847
2022Q3,2022-09-30,0.19555209955634412,9,Equity,0.31819656179046385,3083.0,-0.0069691626107704074
2022Q4,2022-12-31,0.20278240418246093,9,Equity,0.3307266210492017,3069.0,0.007230304626116818
2023Q1,2023-03-31,0.20123962365397305,9,Equity,0.32395267029101377,3127.0,-0.001542780528487886
2023Q2,2023-06-30,0.20936059679275645,9,Equity,0.3425431711145997,3185.0,0.008120973138783405
2023Q3,2023-09-30,0.2043768331459618,9,Equity,0.33663366336633666,3131.0,-0.004983763646794648
2023Q4,2023-12-31,0.2074234663722433,9,Equity,0.33906947100063733,3138.0,0.0030466332262814866
2024Q1,2024-03-31,0.21582497406393705,9,Equity,0.3529772866789441,3258.0,0.00840150769169376
2024Q2,2024-06-30,0.22896002994283096,9,Equity,0.37714987714987713,3256.0,0.013135055878893909
2024Q3,2024-09-30,0.22062261768054758,9,Equity,0.3600471420153212,3394.0,-0.008337412262283378
2024Q4,2024-12-31,0.2222532640770476,9,Equity,0.36896348645465255,3396.0,0.0016306463965000129
2025Q1,2025-03-31,0.22877066749761574,9,Equity,0.38356562137049943,3444.0,0.006517403420568141
